ID,Year,Stage,Department *,Highest Degree Earned *,[fields-of-study] Field(s) of Study * [anthropology],[fields-of-study] Field(s) of Study * [biology],[fields-of-study] Field(s) of Study * [chemistry],[fields-of-study] Field(s) of Study * [cognitive science],[fields-of-study] Field(s) of Study * [computation],[fields-of-study] Field(s) of Study * [computer science],[fields-of-study] Field(s) of Study * [ecology],[fields-of-study] Field(s) of Study * [economics],[fields-of-study] Field(s) of Study * [econophysics],[fields-of-study] Field(s) of Study * [epidemiology],[fields-of-study] Field(s) of Study * [evolution],[fields-of-study] Field(s) of Study * [finance],[fields-of-study] Field(s) of Study * [human behavior],[fields-of-study] Field(s) of Study * [human history],[fields-of-study] Field(s) of Study * [immunology],[fields-of-study] Field(s) of Study * [information theory],[fields-of-study] Field(s) of Study * [linguistics],[fields-of-study] Field(s) of Study * [mathematics],[fields-of-study] Field(s) of Study * [networks],[fields-of-study] Field(s) of Study * [neuroscience],[fields-of-study] Field(s) of Study * [physics],[fields-of-study] Field(s) of Study * [political science],[fields-of-study] Field(s) of Study * [quantum physics],[fields-of-study] Field(s) of Study * [sociology],"Current status (e.g., PhD candidate in Molecular Biology)*",City,"[diversity-country] Country of Citizenship, if not U.S. Citizen",[diversity-citizenship] What is your citizenship ?,[diversity-gender] What is your gender ?,[diversity-ethnicity] Ethnicity,[diversity-race] Race *,Date Applied,Company:,City/Town:,State/Province:,Country:,Male,Female,Citizenship,None,C,C++,HTML,JAVA,MatLab,NetLogo,Perl,Python,R,Ruby,Other (please specify),Name of the most advanced math class you took,"Name of the journal (in your discipline) that you expect or want to publish your next paper in! (Journal in your discipline, not Nature, Science, PNAS, etc.)",BA/MA and Ph.D. departments
"6058092325",2011,Accepted,Urban Planning and Policy,Masters,,,,,,,1,1,,,,,1,,,,,,1,,,1,,,PhD candidate,Chicago,,U.S. Citizen,Female,Not Hispanic or Latino,White,01/04/2011 07:45 AM MST,,,,,,,,,,,,,,,,,,,,,,
"8416901746",India 2015,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IISERM,,,India,,Female,indian,,,,,,,,,,,,,,,
"7157124191",2016,Accepted,Informatics,Bachelors Degree,1,,,,,,,,,,,,,,,1,,,1,,,,,,PhD student in Complex Systems,Bloomington,China,Neither of the above or Prefer not to respond,Female,Not Hispanic or Latino,Asian,01/17/2016 09:23 PM MST,Indiana University Bloomington ,,,,,,,,,,,,,,,,,,,,,
"9892464616",Chile 2014,Accepted,Departament of Physics,Other,,,,,,,,,,,,,,,,,,,,,1,,,,Master candidate in Physics,,Chile,Neither of the above or Prefer not to respond,Female,Hispanic or Latino,White,07/14/2013 06:43 PM MDT,Universidad de Chile,Santiago,Región Metropolitana,Chile,Male,,Chilena,,,C++,,,,,,Python,,,"Bash, Octave",Calculus III,,
"0297106768",2015,Accepted,Environmental Engineering and Water Technology,Masters,,,,,1,,,,,,,,,,,,,,,,,,,,PhD research fellow in Urban Water Systems,Delft,Ethiopia,Neither of the above or Prefer not to respond,Male,Not Hispanic or Latino,Black / African American,12/09/2014 03:06 AM MST,UNESCO-IHE Institute for Water Education,Delft,Zuid Holland,The Netherlands,Male,,Ethiopian,,,,,JAVA,,NetLogo,,,,,,Differential Equations,Environmental Modelling & Software,"BA - Soil and Water Engineering and Management  MA - Water Science and Engineering, specialization Hydroinformatics  PhD - Urban Water Systems"
"6897592662",2014,Accepted,School of natural resources and the environment ,Doctorate,,,,,,,1,,,,,,,,,,,,,,,,,,Postdoc ,Tucson,China,Neither of the above or Prefer not to respond,Female,Not Hispanic or Latino,Asian,01/06/2016 01:56 PM MST,California Institute of Technology,Pasadena,CA,USA,,Female,Taiwan,,,C++,,,MatLab,,,,,,,group theory,Nature Physics,Physics
"3393027738",2011,Accepted,Max Planck institute for Mathematics in the Science,Bachelors Degree,,,,,,,,,,,,,,,,,,1,,,,,,,PhD candidate in Applied Math,Leipzig,China,Neither of the above or Prefer not to respond,Female,Not Hispanic or Latino,Asian,12/15/2010 05:34 AM MST,,,,,,,,,,,,,,,,,,,,,,
"1720863361",2013,Accepted,Department of Physics,Doctorate,,,,,,,,,,,,,,,,,,,,,1,,,,Postdoctoral Research Assistant,Tallahassee,China,Neither of the above or Prefer not to respond,Male,Not Hispanic or Latino,Asian,01/02/2013 09:17 AM MST,Florida State University,Tallahassee,Florida,United States,Male,,China,None,,,,,,,,,,,,Graduate Mathematical Physics,Physical Review Letters,B.Sc. Department of Chemical Physics   Ph.D. C. N. Yang Institute for Theoretical Physics
"7743968987",2012,Accepted,Civil and Environmental Engineering,Bachelors Degree,,1,,,,,1,,,,,,,,,,,,,,1,,,,PhD student in Civil and Environmental Engineering,Durham,,U.S. Citizen,Female,Not Hispanic or Latino,Asian,01/02/2012 09:29 AM MST,Duke University,Durham,North Carolina,USA,,Female,USA,,,,,,MatLab,,,Python,,,Mathematica,,,
"2176746659",2016,Accepted,School of Computer Science and Engineering,Bachelors Degree,,,,,,1,,,,,,,1,,,,,,1,,,,,1,PhD candidate,Chengdu,China,Neither of the above or Prefer not to respond,Male,Not Hispanic or Latino,Asian,12/30/2015 05:09 AM MST,UESTC,Chengdu,Sichuan,China,Male,,China,,C,,,,MatLab,,,Python,,,,stochastic process,Physical Review E,School of Computer Science and Engineering
