 ,Francesca_Lipari,Nicholas_Mathis,Cornelia_Metzig,Jos%C3%A9_Aguilar-Rodr%C3%ADguez,Elizabeth_Lusczek,Rohan_Mehta,James_Holdener,Vipin_P._Veetil,Massimo_Stella,Shai_Gorsky,Heath_Henderson,Junjian_Qi,Renske_Vroomans,Jessica_Santana,Leto_Peel,Nhat_Nguyen,Claire_Lagesse,Michael_Kalyuzhny,Hiroshi_Ashikaga,Brais_Alvarez-Pereira,Claudius_Graebner,Fahad_Khalid,Bernardo_Alves_Furtado,Leonhard_Horstmeyer,Flavia_Maria_Darcie_Marquitti,Anna_Olson,Glen_Otero,Ellsworth_Campbell,Ali_Kharrazi,Sarah_Marzen,Diana_LaScala-Gruenewald,Stojan_Davidovic,Thomas_McAndrew,Matthew_Ayres,Morgan_Edwards,Lin_Li,Sarah_Laborde,Degang_Wu,Diego_Barneche_Rosado,Andy_Maloney,Catherine_Bale,Nicolas-Kirti_Scholtes,Em%C3%ADlia_Garcia_Casademont,Qiao_Zhi,Sanja_Selakovic,Blaz_Krese,Sean_M._Gibbons,Alberto_Antonioni,Ana_Maria_Gomez_Lopez,Jennifer_Hellmann,Brian_Thompson,Luis_Alberto_Mart%C3%ADnez_Vaquero,Sean_Hayes,Pooya_Rezaei,Yu_Ernest_Liu,Alireza_Goudarz,James_Gentile,Alex_Brummer,Stefan_Pfenninger,Cecilia_Siliansky_de_Andreazzi
"Dynamics of Norms Under Reinforcement Learning",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Bitcoin",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
"MITRE Data Sets",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fractal-like structures in economic data",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microbial Community Data Sets",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"The pollination problem from a game theory approach",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"North American Breeding Birds Survey and tropical trees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Multiplex Networks",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1
"Network Tolerance of Failure",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
"Growth of Cities",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
